Taxa	phe1	phe2	phe3
Ind64	265.8133496	118.2166409	52.45288302
Ind65	266.0710496	112.7261409	52.53268302
Ind66	263.7423496	113.1149409	53.71808302
Ind67	234.4242496	119.9335409	52.63458302
Ind68	266.4815496	123.4537409	53.07868302
Ind69	240.1084496	103.0207409	48.22528302
Ind70	258.4940496	122.6390409	53.37968302
Ind71	240.0279496	92.03964095	48.94318302
Ind72	226.3863496	94.21974095	52.29338302
Ind73	263.7285496	98.32414095	50.36608302
Ind74	278.1048496	125.3220409	53.04028302
Ind75	279.2455496	123.6587409	53.72918302
Ind76	247.1306496	105.6206409	49.98008302
Ind77	250.7442496	107.5441409	50.52658302
Ind78	274.5667496	123.4771409	53.10908302
Ind79	285.6878496	132.8150409	55.00538302
Ind80	267.7782496	120.0414409	50.37898302
Ind81	253.2991496	109.1249409	53.72918302
Ind82	246.1024496	106.4549409	53.04028302
Ind83	231.3952496	97.43334095	53.72918302
Ind84	224.5659496	99.85904095	56.14878302
Ind85	237.6765496	102.4716409	49.26218302
Ind86	259.2421496	109.3348409	53.41008302
Ind87	269.9904496	111.7218309	53.57468302
Ind88	252.1575496	97.77684095	55.32348302
Ind89	258.2758496	126.5009409	52.29338302
Ind90	264.2674496	121.8519409	53.37968302
Ind91	255.5525496	105.0157409	48.89808302
Ind92	264.2349496	119.8799409	54.44708302
Ind93	242.7176496	93.10544095	50.85758302
Ind94	228.4634496	94.87824095	53.30038302
Ind95	264.8285496	106.6293409	51.44678302
Ind96	265.3710496	98.17114095	51.78038302
Ind97	246.8407496	93.62224095	48.38478302
Ind98	247.8553496	92.39494095	49.34198302
Ind99	255.2866496	103.7957409	52.20828302
Ind100	290.3746496	125.4593409	52.21358302
Ind101	255.2054496	110.1624409	50.07468302
Ind102	257.4723496	98.15114095	51.51088302
Ind103	252.7193496	97.32024095	50.93728302
Ind104	229.2197496	83.21474095	49.94668302
Ind105	265.0563496	103.3437409	50.77778302
Ind106	245.1818496	93.76754095	47.98598302
Ind107	246.8628496	97.83964095	52.53908302
Ind108	264.7843496	93.65994095	51.81128302
Ind109	276.1605496	97.53084095	51.82678302
Ind110	264.2680496	119.5938409	52.74698302
Ind111	262.5297496	105.1621409	51.78038302
Ind112	233.5092496	76.34364095	47.71948302
Ind113	268.7686496	103.2753409	49.48638302
Ind114	235.3762496	71.39154095	49.47218302
Ind115	235.0846496	89.32704095	52.00018302
Ind116	282.5633496	125.5804409	52.13378302
Ind117	257.1645496	114.9223409	49.98008302
Ind118	259.7076496	110.7278409	51.78038302
Ind119	264.2144496	116.8275409	54.12798302
Ind120	293.9098496	146.1094409	55.08518302
Ind121	247.1651496	117.5778409	52.86698302
Ind122	273.2958496	120.7547409	53.61398302
Ind123	263.1469496	122.3167409	53.61378302
Ind124	256.9108496	110.9416409	53.96848302
Ind125	285.1886496	134.0423409	52.37308302
Ind126	255.7794496	114.0664409	50.77778302
Ind127	272.5118496	118.6080409	52.67688302
Ind128	275.2592496	116.7624409	55.10708302
Ind129	286.0477496	120.9349409	53.93128302
Ind130	253.3084496	129.6977409	55.29198302
Ind131	287.1213496	132.9926409	55.12378302
Ind132	242.7215496	101.5104409	50.85558302
Ind133	299.7965496	147.9625409	53.88868302
Ind134	249.9408496	99.90774095	51.73970302
Ind135	240.6209496	104.0169409	53.30088302
Ind136	264.6376496	113.0167409	48.78358302
Ind137	268.2983496	117.6348409	50.92888302
Ind138	272.7589496	124.8860409	53.72918302
Ind139	303.0511496	141.7333409	54.30738302
Ind140	266.2320496	121.0426409	50.29918302
Ind141	277.6833496	124.9668409	52.69218302
Ind142	259.1707496	119.8861409	53.13378302
Ind143	256.2229496	104.2885409	52.92198302
Ind144	283.7117496	125.3770409	52.59078302
Ind145	260.6791496	108.5819409	49.70068302
Ind146	277.5544496	118.5073409	52.93148302
Ind147	270.8640496	112.5444409	52.70788302
Ind148	281.5496496	125.4247409	54.34788302
Ind149	284.3833496	136.0609409	54.20778302
Ind150	279.8096496	126.6237409	54.42708302
Ind151	256.2162496	106.7789409	49.92578302
Ind152	287.3145496	134.3168409	53.41008302
Ind153	250.0055496	89.69214095	49.12748302
Ind154	240.1293496	100.4470409	53.04028302
Ind155	238.4737496	106.4119409	48.94318302
Ind156	250.8767496	113.8670409	49.59748302
Ind157	284.3594496	132.7672409	51.01038302
Ind158	249.4015496	115.7620409	47.66688302
Ind159	249.2082496	114.1471409	50.21938302
Ind160	235.5183496	111.8217709	51.17658302
Ind161	225.0012496	95.35014095	50.13968302
Ind162	239.3590496	103.0168409	49.32928302
Ind163	193.2889496	88.35774095	50.77778302
Ind164	241.5902496	106.4281409	49.42178302
Ind165	245.0982496	102.0807409	50.64148302
Ind166	263.7481496	102.2225409	50.93758302
Ind167	248.6928496	118.8545409	50.05988302
Ind168	252.5663496	113.7757409	49.82058302
Ind169	237.9825496	101.2120409	47.66688302
Ind170	274.1883496	126.2102409	49.50148302
Ind171	224.6469496	85.32174095	48.22528302
Ind172	217.7784496	88.83514095	49.22638302
Ind173	249.4820496	108.4790409	52.13378302
Ind174	283.6102496	131.9376409	53.01128302
Ind175	249.1196496	113.6627409	49.18248302
Ind176	267.2741496	119.2932409	50.92948302
Ind177	244.0957496	115.4467409	51.14998302
Ind178	229.8645496	97.28404095	51.15398302
Ind179	270.4175496	122.8586409	50.26728302
Ind180	244.8293496	108.5430409	49.04358302
Ind181	256.0596496	113.1063409	50.93608302
Ind182	260.8595496	108.0701409	51.30588302
Ind183	264.3343496	108.1472409	50.64148302
Ind184	242.2747496	118.3216409	51.09688302
Ind185	265.3462496	120.6497409	51.97428302
Ind186	236.2489496	97.77004095	48.47858302
Ind187	285.1725496	131.6039409	52.29338302
Ind188	230.1005496	89.96074095	49.80828302
Ind189	243.6110496	101.4542409	51.85598302
Ind190	285.6073496	143.4166409	54.40528302
Ind191	250.5128496	122.1407409	52.13378302
Ind192	261.5305496	121.8998409	53.33028302
Ind193	264.4595496	126.2706409	53.73378302
Ind194	241.1875496	101.7127409	52.77198302
Ind195	273.0931496	132.3036409	53.09098302
Ind196	245.7317496	111.5559409	49.88218302
Ind197	252.9018496	113.6896409	53.01128302
Ind198	262.4257496	114.0449409	53.80888302
Ind199	272.7711496	119.7840409	54.51388302
Ind200	253.4279496	127.3729409	53.88868302
Ind201	284.6678496	132.0668409	55.00538302
